,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Filip Chlapik\chlapfi01,2018,2020,C,45,4,6,10,-9,18,,,,,,,Prague,1997-06-03,
2,Filip Chytil\chytifi01,2018,2020,C,120,23,20,43,-22,20,,,,,,,Kromeriz,1999-09-05,
3,Radek Faksa\faksara01,2016,2020,C,330,58,66,124,16,203,,,,,,,Vitkov,1994-01-09,
4,Martin Frk\frkma01,2017,2020,RW,104,15,19,34,-26,20,,,,,,,Pelhrimov,1993-10-05,
5,Libor Hajek\hajekli01,2019,2020,D,33,1,5,6,-3,18,,,,,,,Smrcek,1998-02-04,
6,Tomas Hertl\hertlto01,2014,2020,C,448,131,148,279,1,133,,,,,,,Praha,1993-11-12,
7,Filip Hronek\hronefi01,2019,2020,D,90,13,35,48,-29,53,,,,,,,Hradec Kralove,1997-11-02,
8,Tomas Hyka\hykato01,2018,2019,RW,27,2,5,7,0,2,,,,,,,Mlada Boleslav,1993-03-23,
9,Dominik Kahun\kahundo01,2019,2020,C,126,23,40,63,19,14,,,,,,,Plana,1995-07-02,
10,David Kampf\kampfda01,2018,2020,C,155,14,29,43,-23,32,,,,,,,Chomutov,1995-01-12,
11,David Kase\kaseda01,2020,2020,RW,6,1,0,1,1,0,,,,,,,Kadan,1997-01-28,
12,Ondrej Kase\kaseon01,2017,2020,RW,189,41,49,90,10,44,,,,,,,Kadan,1995-11-08,
13,Dominik Kubalík\kubaldo01,2020,2020,LW,44,16,10,26,3,10,,,,,,,Plzeň,1995-08-21,
14,Marek Langhamer\langhma01,2017,2018,G,2,0,0,0,0,0,2,0,0,0,.944,1.35,Moravska Trebova,1994-07-22,
15,Martin Necas\necasma01,2018,2020,C,50,11,16,27,-1,14,,,,,,,Nove Mesto na Morave,1999-01-15,
16,David Pastrnak\pastrda01,2015,2020,RW,367,168,182,350,57,161,,,,,,,Havirov,1996-05-25,
17,Lukas Sedlak\sedlalu01,2017,2019,C,162,15,12,27,2,56,,,,,,,Ceske Budejovice,1993-02-25,
18,Dominik Simon\simondo01,2016,2020,C,154,16,42,58,6,44,,,,,,,Prague,1994-08-08,
19,Libor Sulak\sulakli01,2019,2019,D,6,0,0,0,-4,6,,,,,,,Pelhrimov,1994-03-04,
20,Jakub Vrana\vranaja01,2017,2020,LW,223,60,58,118,32,57,,,,,,,Prague,1996-02-28,
21,Pavel Zacha\zachapa01,2016,2020,C,242,32,62,94,-37,72,,,,,,,Brno,1997-04-06,
22,Filip Zadina\zadinfi01,2019,2020,RW,30,6,8,14,-11,2,,,,,,,Pardubice,1999-11-27,
23,Jakub Zboril\zborija01,2019,2019,D,2,0,0,0,0,0,,,,,,,Brno,1997-02-21,
