,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Patrik Augusta\auguspa01,1994,1999,RW,4,0,0,0,0,0,,,,,,,Jihlava,1969-11-13,
2,Jergus Baca\bacaje01,1991,1992,D,10,0,2,2,-4,14,,,,,,,Liptovsky Mikulas,1965-01-04,
3,Jaroslav Balastik\balasja01,2006,2007,RW,74,13,11,24,-4,30,,,,,,,Gottwaldov,1979-11-28,
4,Jozef Balej\balejjo01,2004,2006,RW,18,1,5,6,0,4,,,,,,,Myjava,1982-02-22,
5,Ivan Baranka\baraniv01,2008,2008,D,1,0,1,1,1,0,,,,,,,Ilava,1985-05-19,
6,Michal Barinka\barinmi01,2004,2006,D,34,0,2,2,-12,26,,,,,,,Vyskov,1984-06-12,
7,Lubos Bartecko\bartelu01,1999,2003,LW,257,46,65,111,15,107,,,,,,,Kezmarok,1976-07-14,
8,Peter Bartos\bartope01,2001,2001,LW,13,4,2,6,2,6,,,,,,,Martin,1973-09-05,
9,Milan Bartovic\bartomi01,2003,2006,RW,50,3,14,17,1,26,,,,,,,Trencin,1981-04-09,
10,Jaroslav Bednar\bednaja01,2002,2004,RW,102,10,25,35,-1,30,,,,,,,Prague,1976-11-08,
11,Ladislav Benysek\benysla01,1998,2003,D,161,3,12,15,-28,74,,,,,,,Olomouc,1975-03-24,
12,Josef Beranek\beranjo01,1992,2001,LW/C,531,118,144,262,-44,398,,,,,,,Litvinov,1969-10-25,
13,Karel Betik\betikka01,1999,1999,D,3,0,2,2,-3,2,,,,,,,Karvina,1978-10-28,
14,Radim Bicanek\bicanra01,1995,2002,D,122,1,11,12,-12,62,,,,,,,Uherske Hradiste,1975-01-18,
15,Jiri Bicek\bicekji01,2001,2004,RW,62,6,7,13,6,29,,,,,,,Kosice,1978-12-03,
16,Zdenek Blatny\blatnzd01,2003,2006,LW,25,3,0,3,-3,8,,,,,,,Brno,1981-01-14,
17,Mario Bliznak\bliznma01,2010,2011,C,6,1,0,1,-1,0,,,,,,,Trencin,1987-03-06,
18,Radek Bonk\bonkra01,1995,2009,C,969,194,303,497,-22,581,,,,,,,Krnov,1976-01-09,
19,Pavel Brendl\brendpa01,2002,2006,RW,78,11,11,22,1,16,,,,,,,Opocno,1981-03-23,
20,Jiri Bubla\bublaji01,1982,1986,D,256,17,101,118,-56,202,,,,,,,Usti nad Labem,1950-01-27,
21,Peter Budaj\budajpe01,2006,2019,G,368,0,11,11,0,20,368,158,132,40,.904,2.70,Banska Bystrica,1982-09-18,
22,Jan Bulis\bulisja01,1998,2007,C,552,96,149,245,-3,268,,,,,,,Pardubice,1978-03-18,
23,Petr Buzek\buzekpe01,1998,2003,D,157,9,22,31,-25,94,,,,,,,Jihlava,1977-04-26,
24,Petr Cajanek\cajanpe01,2003,2007,RW,269,46,107,153,15,144,,,,,,,Gottwaldov/Zlin,1975-08-18,
25,Jan Caloun\calouja01,1996,2001,RW,24,8,6,14,-6,2,,,,,,,Usti nad Labem,1972-12-20,
26,Roman Cechmanek\cechmro01,2001,2004,G,212,0,1,1,0,24,212,110,64,28,.919,2.08,Gottwaldov/Zlin,1971-03-02,
27,Frantisek Cernik\cernifr01,1985,1985,W,49,5,4,9,-7,13,,,,,,,Novy Jicin,1953-06-03,
28,Milan Chalupa\chalumi01,1985,1985,D,14,0,5,5,5,6,,,,,,,Oudolen,1953-07-04,
29,Zdeno Chara\charazd01,1998,2020,D,1530,205,450,655,280,1939,,,,,,,Trencin,1977-03-18,
30,Martin Cibak\cibakma01,2002,2006,C,154,5,18,23,-16,60,,,,,,,Liptovsky Mikulas,1980-05-17,
31,Ivan Ciernik\cierniv01,1998,2004,RW,89,12,14,26,9,32,,,,,,,Levice,1977-10-30,
32,Jozef Cierny\ciernjo01,1994,1994,LW,1,0,0,0,-1,0,,,,,,,Zvolen,1974-05-13,
33,Zdeno Ciger\cigerzd01,1991,2002,LW,352,94,134,228,-54,101,,,,,,,Martin,1969-10-19,
34,Marian Cisar\cisarma01,2000,2002,RW,73,13,17,30,-12,57,,,,,,,Bratislava,1978-02-25,
35,Jiri Crha\crhaji01,1980,1981,G,69,0,1,1,0,12,69,28,27,11,.883,3.98,Pardubice,1950-04-13,
36,Jakub Cutta\cuttaja01,2001,2004,D,8,0,0,0,-5,0,,,,,,,Jablonec nad Nisou,1981-12-29,
37,Pavol Demitra\demitpa01,1994,2010,LW,847,304,464,768,124,284,,,,,,,Dubnica,1974-11-29,2011-09-07
38,Tomas Divisek\divisto01,2001,2002,C,5,1,0,1,0,0,,,,,,,Most,1979-07-19,
39,Robert Dome\domero01,1998,2003,RW,53,7,7,14,0,12,,,,,,,Skalica,1979-01-29,
40,Jiri Dopita\dopitji01,2002,2003,C,73,12,21,33,5,19,,,,,,,Sumperk,1968-12-02,
41,Ivan Droppa\droppiv01,1994,1996,D,19,0,1,1,4,14,,,,,,,Liptovsky Mikulas,1972-02-01,
42,Vitezslav Duris\durisvi01,1981,1983,D,89,3,20,23,15,62,,,,,,,Plzen,1954-01-05,
43,Miroslav Dvorak\dvorami01,1983,1985,D,193,11,74,85,59,51,,,,,,,Hluboka-nad-Vltavou,1951-10-11,2008-06-12
44,Radek Dvorak\dvorara01,1996,2014,RW,1260,227,363,590,-10,449,,,,,,,Tabor,1977-03-09,
45,Patrik Elias\eliaspa01,1996,2016,LW,1240,408,617,1025,172,549,,,,,,,Trebic,1976-04-13,
46,Martin Erat\eratma01,2002,2015,RW,881,176,369,545,-6,506,,,,,,,Trebic,1981-08-29,
47,Jiri Fischer\fischji01,2000,2006,D,305,11,49,60,29,295,,,,,,,Horovice,1980-07-31,
48,Tomas Fleischmann\fleisto01,2006,2016,LW,657,137,198,335,-43,200,,,,,,,Koprivnice,1984-05-16,
49,Pavel Francouz\francpa01,2019,2020,G,21,0,0,0,0,2,21,11,6,2,.927,2.39,Plzen,1990-06-03,
