,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Antti Aalto\aaltoan01,1998,2001,C,151,11,17,28,-25,52,,,,,,,Lappeenranta,1975-03-04,
2,Sebastian Aho\ahose01,2017,2020,F,288,106,131,237,40,92,,,,,,,Rauma,1997-07-26,
3,Peter Ahola\aholape01,1992,1994,D,123,10,17,27,2,137,,,,,,,Espoo,1968-05-14,
4,Sami Aittokallio\aittosa01,2013,2014,G,2,0,0,0,0,0,2,0,1,0,.884,3.36,Tampere,1992-08-06,
5,Mika Alatalo\alatami01,2000,2001,LW,152,17,29,46,-2,58,,,,,,,Oulu,1971-06-11,
6,Joel Armia\armiajo01,2015,2020,RW,272,51,51,102,3,78,,,,,,,Pori,1993-05-31,
7,Niklas Backstrom\backsni01,2007,2016,G,413,0,5,5,0,22,413,196,144,50,.914,2.49,Helsinki,1978-02-13,
8,Aleksander Barkov\barkoal01,2014,2020,C,458,149,245,394,36,82,,,,,,,Tampere,1995-09-02,
9,Aki Berg\bergak01,1996,2006,D,606,15,70,85,-12,374,,,,,,,Turku,1977-07-28,
10,Sean Bergenheim\bergese01,2004,2015,LW,506,96,84,180,-42,379,,,,,,,Helsinki,1984-02-08,
11,Timo Blomqvist\blomqti01,1982,1987,D,243,4,53,57,24,293,,,,,,,Helsinki,1961-01-23,
12,Arto Blomsten\blomsar01,1994,1996,D,25,0,4,4,-3,8,,,,,,,Vaasa,1965-03-16,
13,Henrik Borgström\borgshe01,2018,2020,C,58,9,10,19,-17,6,,,,,,,Helsinki,1997-08-06,
14,Toni Dahlman\dahlmto01,2002,2003,RW,22,1,1,2,-2,0,,,,,,,Helsinki,1979-09-03,
15,Joonas Donskoi\donskjo01,2016,2020,RW,327,59,92,151,19,84,,,,,,,Raahe,1992-04-13,
16,Miika Elomo\elomomi01,2000,2000,LW,2,0,1,1,1,2,,,,,,,Turku,1977-04-21,
