,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Lean Bergmann\bergmle01,2020,2020,F,8,0,1,1,-5,2,,,,,,,Iserlohn,1998-10-04,
2,Sven Butenschön\butensv01,1998,2006,D,140,2,12,14,-10,86,,,,,,,Itzehoe,1976-03-22,
3,Leon Draisaitl\draisle01,2015,2020,C,398,150,232,382,-32,138,,,,,,,Cologne,1995-10-27,
4,Christian Ehrhoff\ehrhoch01,2004,2016,D,789,74,265,339,48,517,,,,,,,Moers,1982-07-06,
5,Jean-Marc Gaulin\gaulije01,1983,1986,RW,26,4,3,7,0,8,,,,,,,Balve,1962-03-03,
6,Randy Gilhen\gilhera01,1983,1996,C,457,55,60,115,-66,314,,,,,,,Zweibrucken,1963-06-13,
7,Brian Glynn\glynnbr01,1988,1997,D,431,25,79,104,-59,410,,,,,,,Iserlohn,1967-11-23,
8,Marcel Goc\gocma01,2006,2015,C,636,75,113,188,-21,157,,,,,,,Calw,1983-08-24,
9,Sascha Goc\gocsa01,2001,2002,D,22,0,0,0,5,4,,,,,,,Calw,1979-04-14,
10,Erich Goldmann\goldmer01,2000,2000,D,1,0,0,0,0,0,,,,,,,Dingolfing,1976-04-07,
11,Mikhail Grabovski\grabomi01,2007,2016,C,534,125,171,296,5,312,,,,,,,Potsdam,1984-01-31,
12,Thomas Greiss\greisth01,2008,2020,G,272,0,3,3,0,12,272,133,88,24,.915,2.61,Fussen,1986-01-29,
13,Philipp Grubauer\grubaph01,2013,2020,G,164,0,1,1,0,2,164,73,50,19,.919,2.48,Rosenheim,1991-11-25,
14,Dany Heatley\heatlda01,2002,2015,LW,869,372,419,791,38,620,,,,,,,Freiburg,1981-01-21,
15,Jochen Hecht\hechtjo01,1999,2013,LW,833,186,277,463,100,458,,,,,,,Mannheim,1977-06-21,
16,Uli Hiemer\hiemeul01,1985,1987,D,143,19,54,73,-19,176,,,,,,,Fussen,1962-09-21,
17,Korbinian Holzer\holzeko01,2011,2020,D,192,6,20,26,-13,133,,,,,,,Munich,1988-02-16,
18,Willie Huber\huberwi01,1979,1988,D,655,104,217,321,-199,950,,,,,,,Strasskirchen,1958-01-15,2010-06-28
19,Uwe Krupp\kruppuw01,1987,2003,D,729,69,212,281,97,660,,,,,,,Cologne,1965-06-24,
20,Tom Kuhnhackl\kuhnhto01,2016,2020,RW,222,18,34,52,3,58,,,,,,,Landshut,1992-01-21,
21,Michel Larocque\larocmi02,2001,2001,G,3,0,0,0,0,0,3,0,2,0,.847,3.55,Lahr,1976-10-03,
22,Danny O'Regan\oregada01,2017,2019,C,25,1,4,5,-4,2,,,,,,,Berlin,1994-01-30,
23,Timo Pielmeier\pielmti01,2011,2011,G,1,0,0,0,0,0,1,0,0,0,.583,7.50,Deggendorf,1989-07-07,
24,Tobias Rieder\riedeto01,2015,2020,C,416,57,78,135,-77,48,,,,,,,Landshut,1993-01-10,
25,Christoph Schubert\schubch01,2006,2010,D,315,25,47,72,27,263,,,,,,,Munich,1982-02-05,
26,Dennis Seidenberg\seidede01,2003,2018,D,859,44,207,251,39,359,,,,,,,Schwenningen,1981-07-18,
27,Marco Sturm\sturmma01,1998,2012,LW,938,242,245,487,59,446,,,,,,,Dingolfing,1978-09-08,
28,Nico Sturm\sturmni01,2019,2020,C,8,0,2,2,2,0,,,,,,,Augsburg,1995-05-03,
29,Alexander Sulzer\sulzeal01,2009,2014,D,131,7,15,22,4,44,,,,,,,Kaufbeuren,1984-05-30,
30,Walt Tkaczuk\tkaczwa01,1968,1981,C,945,227,451,678,184,556,,,,,,,Emsdetten,1947-09-29,
31,Niklas Treutle\treutni01,2016,2016,G,2,0,0,0,0,2,2,0,1,0,.750,6.04,Nuremberg,1991-04-29,
32,Stefan Ustorf\ustorst01,1996,1997,C,54,7,10,17,5,16,,,,,,,Kaufbeuren,1974-01-03,
33,David Wolf\wolfda01,2015,2015,LW,3,0,0,0,0,2,,,,,,,Dusseldorf,1989-09-15,
