,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Vitaly Abramov\abramvi01,2019,2020,RW,3,1,0,1,-3,2,,,,,,,Chelyabinsk,1998-05-08,
2,Ivan Barbashev\barbaiv01,2017,2020,C,205,32,36,68,2,34,,,,,,,Moscow,1995-12-14,
3,Pavel Buchnevich\buchnpa01,2017,2020,LW,221,50,74,124,-11,58,,,,,,,Cherepovets,1995-04-17,
4,Stanislav Galiev\galiest01,2015,2016,RW,26,1,3,4,3,4,,,,,,,Moscow,1992-01-17,
5,Vladislav Gavrikov\gavrivl01,2020,2020,D,43,4,4,8,6,12,,,,,,,Yaroslavl,1995-11-21,
6,Nikolay Goldobin\goldoni01,2016,2020,LW,125,19,27,46,-23,24,,,,,,,Moscow,1995-10-07,
7,Johnny Gottselig\gottsjo01,1929,1945,LW,591,176,196,372,,211,,,,,,,Odessa,1905-06-24,1986-05-15
8,Mikhail Grigorenko\grigomi01,2013,2017,C,217,22,42,64,-26,30,,,,,,,Khabarovsk,1994-05-16,
9,Denis Gurianov\guriade01,2017,2020,RW,59,10,9,19,-2,9,,,,,,,Togliatti,1997-06-07,
10,Nikita Gusev\gusevni01,2020,2020,LW,39,7,17,24,-10,12,,,,,,,Moscow,1992-07-08,
11,Val Hoffinger\hoffiva01,1928,1929,D,28,0,1,1,,28,,,,,,,Seltz,1901-01-01,1976-03-22
12,Dmitrij Jaskin\jaskidm01,2013,2019,RW,303,27,42,69,12,88,,,,,,,Omsk,1993-03-23,
13,Vladislav Kamenev\kamenvl01,2017,2020,LW,46,3,7,10,-3,16,,,,,,,Orsk,1996-08-12,
14,Alexander Khokhlachev\khokhal01,2014,2016,C,9,0,0,0,-4,2,,,,,,,Moscow,1993-09-09,
15,Klim Kostin\kostikl01,2020,2020,C; LW,4,1,0,1,1,0,,,,,,,Penza,1999-05-05,
16,Nikita Kucherov\kucheni01,2014,2020,RW,488,203,306,509,113,245,,,,,,,Maykop,1993-06-17,
17,Evgeny Kuznetsov\kuzneev01,2014,2020,C,457,117,261,378,68,234,,,,,,,Chelyabinsk,1992-05-19,
18,Roman Lyubimov\lyubiro01,2017,2017,LW,47,4,2,6,-2,8,,,,,,,Tver,1992-01-06,
19,Ilya Lyubushkin\lyubuil01,2019,2020,D,72,0,6,6,-8,27,,,,,,,Moscow,1994-04-06,
20,Andrey Makarov\makaran01,2015,2015,G,1,0,0,0,0,0,1,0,1,0,.917,3.00,Kazan,1993-04-20,
21,Maxim Mamin\maminma01,2018,2019,C/RW,33,3,1,4,0,12,,,,,,,Moscow,1995-01-13,
22,Alexey Marchenko\marchal01,2014,2017,D,121,4,17,21,5,26,,,,,,,Moscow,1992-01-02,
23,Ilya Mikheyev\mikheil01,2020,2020,F,39,8,15,23,7,4,,,,,,,Omsk,1994-10-10,
24,Andrei Mironov\mironan01,2018,2018,D,10,1,2,3,2,12,,,,,,,Moscow,1994-07-29,
25,Vladislav Namestnikov\namesvl01,2014,2020,C,400,74,102,176,4,217,,,,,,,Zhukovskiy,1992-11-22,
26,Nikita Nesterov\nesteni01,2015,2017,D,132,9,24,33,0,81,,,,,,,Chelyabinsk,1993-03-28,
27,Valeri Nichushkin\nichuva01,2014,2020,RW,262,30,60,90,27,34,,,,,,,Chelyabinsk,1995-03-04,
28,Igor Ozhiganov\ozhigig01,2019,2019,D,53,3,4,7,0,14,,,,,,,Krasnogorsk,1992-10-13,
29,Nikolai Prokhorkin\prokhni01,2020,2020,LW,24,4,7,11,0,4,,,,,,,Chelyabinsk,1993-09-17,
30,Ivan Provorov\provoiv01,2017,2020,D,289,39,82,121,-5,102,,,,,,,Yaroslavl,1997-01-13,
31,German Rubtsov\rubtsge01,2020,2020,C,3,0,0,0,-1,0,,,,,,,Chekhov,1998-06-27,
32,Ilya Samsonov\samsoil01,2020,2020,G,16,0,0,0,0,2,16,12,2,1,.921,2.24,Magnitogorsk,1997-02-22,
33,Nikita Scherbak\scherni01,2017,2019,RW,37,6,2,8,-8,10,,,,,,,Moscow,1995-12-30,
34,Sweeney Schriner*\schrisw01,1935,1946,LW,484,201,206,407,,148,,,,,,,Saratov,1911-11-30,1990-07-04
35,Mikhail Sergachev\sergami01,2017,2020,D,200,21,73,94,29,105,,,,,,,Nizhnekamsk,1998-06-25,
36,Igor Shesterkin\shestig01,2020,2020,G,1,0,0,0,,0,1,1,0,0,.906,3.03,Moscow,1995-12-30,
37,Anton Slepyshev\slepyan01,2016,2018,LW,102,10,13,23,-4,14,,,,,,,Penza,1994-05-13,
38,Nikita Soshnikov\soshnni01,2016,2019,RW,87,8,8,16,-6,26,,,,,,,Nizhny Tagil,1993-10-14,
