,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Dmitry Afanasenkov\afanadm01,2001,2007,LW,227,27,27,54,-36,52,,,,,,,Arkhangelsk,1980-05-12,
2,Maxim Afinogenov\afinoma01,2000,2010,RW,651,158,237,395,-43,486,,,,,,,Moscow,1979-09-04,
3,Nikita Alexeev\alexeni01,2002,2007,RW,159,20,17,37,-8,28,,,,,,,Murmansk,1981-12-27,
4,Alexander Andrievski\andrial01,1993,1993,RW,1,0,0,0,0,0,,,,,,,Moscow,1968-08-10,
5,Artem Anisimov\anisiar01,2009,2020,C,730,171,186,357,-14,208,,,,,,,Yaroslavl,1988-05-24,
6,Nik Antropov\antroni01,2000,2013,C,788,193,272,465,55,627,,,,,,,Ust-Kamenogorsk,1980-02-18,
7,Denis Arkhipov\arkhide01,2001,2007,C,352,56,82,138,-51,128,,,,,,,Kazan,1979-05-19,
8,Evgeny Artyukhin\artyuev01,2006,2010,RW,199,19,30,49,-7,313,,,,,,,Moscow,1983-04-04,
9,Kaspars Astashenko\astaska01,2000,2001,D/W,23,1,2,3,-6,8,,,,,,,Riga,1975-02-17,2012-11-22
10,Anton Babchuk\babchan01,2004,2013,D,289,36,71,107,14,108,,,,,,,Kiev,1984-05-06,
11,Yuri Babenko\babenyu01,2001,2001,C,3,0,0,0,0,0,,,,,,,Penza,1978-01-02,
12,Helmut Balderis\baldehe01,1990,1990,RW,26,3,6,9,0,2,,,,,,,Riga,1952-07-31,
13,Maxim Balmochnykh\balmoma01,2000,2000,LW,6,0,1,1,2,2,,,,,,,Lipetsk,1979-03-07,
14,Oskars Bartulis\bartuos01,2010,2011,D,66,1,8,9,-16,32,,,,,,,Ogre,1987-01-21,
15,Andrei Bashkirov\bashkan01,1999,2001,LW,30,0,3,3,-5,0,,,,,,,Shelekhov,1970-06-22,
16,Ruslan Batyrshin\batyrru01,1996,1996,D,2,0,0,0,0,6,,,,,,,Moscow,1975-02-19,
17,Sergei Bautin\bautise01,1993,1996,D,132,5,25,30,-15,176,,,,,,,Rogachev,1967-03-11,
18,Anton Belov\belovan01,2014,2014,D,57,1,6,7,-12,34,,,,,,,Ryazan,1986-07-29,
19,Sergei Berezin\berezse01,1997,2003,LW,502,160,126,286,29,54,,,,,,,Voskresensk,1971-11-05,
20,Maxim Bets\betsma01,1994,1994,LW,3,0,0,0,-3,0,,,,,,,Chelyabinsk,1974-01-31,
21,Sergei Bobrovsky\bobrose01,2011,2020,G,491,0,10,10,0,20,491,271,165,41,.917,2.52,Novokuznetsk,1988-09-20,
22,Alexandre Boikov\boikoal01,2000,2001,D,10,0,0,0,-1,15,,,,,,,Chelyabinsk,1975-02-07,
23,Peter Bondra\bondrpe01,1991,2007,RW,1081,503,389,892,74,761,,,,,,,Luck,1968-02-07,
24,Nikolai Borschevsky\borscni01,1993,1996,RW,162,49,73,122,42,44,,,,,,,Tomsk,1965-01-12,
25,Sergei Brylin\brylise01,1995,2008,LW,765,129,179,308,49,273,,,,,,,Moscow,1974-01-13,
26,Ilya Bryzgalov\bryzgil01,2002,2015,G,465,0,12,12,0,20,465,221,162,54,.912,2.58,Togliatti,1980-06-22,
27,Pavel Bure*\burepa01,1992,2003,RW,702,437,342,779,42,484,,,,,,,Moscow,1971-03-31,
28,Valeri Bure\bureva01,1995,2004,RW,621,174,226,400,-33,221,,,,,,,Moscow,1974-06-13,
29,Alexander Burmistrov\burmial01,2011,2018,C,348,37,64,101,-31,139,,,,,,,Kazan,1991-10-21,
30,Viacheslav Butsayev\butsavi01,1993,2000,C,132,17,26,43,-8,133,,,,,,,Togliatti,1970-06-13,
31,Yuri Butsayev\butsayu01,2000,2003,LW,99,10,4,14,-13,28,,,,,,,Togliatti,1978-10-11,
32,Ilja Byakin\byakiil01,1994,1995,D,57,8,25,33,-12,44,,,,,,,Sverdlovsk,1963-02-02,
33,Dmitri Bykov\bykovdm01,2003,2003,D,71,2,10,12,1,43,,,,,,,Izhevsk,1977-05-05,
34,Vladimir Chebaturkin\chebavl01,1998,2002,D,62,2,7,9,7,52,,,,,,,Tyumen,1975-04-23,
35,Denis Chervyakov\chervde01,1993,1993,D,2,0,0,0,-1,2,,,,,,,Leningrad,1970-04-20,
36,Igor Chibirev\chibiig01,1994,1995,C,45,7,12,19,8,2,,,,,,,Kiev,1968-04-19,
37,Stanislav Chistov\chistst01,2003,2007,LW,196,19,42,61,-20,116,,,,,,,Chelyabinsk,1983-04-17,
38,Artem Chubarov\chubaar01,2000,2004,C,228,25,33,58,-3,40,,,,,,,Gorky,1979-12-13,
39,Evgenii Dadonov\dadonev01,2010,2020,RW,256,85,106,191,1,38,,,,,,,Chelyabinsk,1989-03-12,
40,Pavel Datsyuk\datsypa01,2002,2016,C,953,314,604,918,249,228,,,,,,,Sverdlovsk,1978-07-20,
41,Kaspars Daugavins\daugaka01,2010,2013,LW,91,6,9,15,-10,21,,,,,,,Riga,1988-05-18,
42,Evgeny Davydov\davydev01,1992,1995,LW,155,40,39,79,-2,120,,,,,,,Chelyabinsk,1967-05-27,
43,Alexei Emelin\emelial01,2012,2018,D,456,15,66,81,-9,363,,,,,,,Togliatti,1986-04-25,
44,Fedor Fedorov\fedorfe01,2003,2006,C,18,0,2,2,0,14,,,,,,,Appatity,1981-06-11,
45,Sergei Fedorov*\fedorse01,1991,2009,C,1248,483,696,1179,261,839,,,,,,,Pskov,1969-12-13,
46,Ruslan Fedotenko\fedotru01,2001,2013,LW,863,173,193,366,25,472,,,,,,,Kiev,1979-01-18,
47,Anatoli Fedotov\fedotan01,1993,1994,D,4,0,2,2,0,0,,,,,,,Saratov,1966-05-11,
48,Viacheslav Fetisov*\fetisvi01,1990,1998,D,546,36,192,228,114,656,,,,,,,Moscow,1958-04-20,
49,Nikita Filatov\filatni01,2009,2012,LW,53,6,8,14,7,20,,,,,,,Moscow,1990-05-25,
50,Dmitri Filimonov\filimdm01,1994,1994,D,30,1,4,5,-10,18,,,,,,,Perm,1971-10-14,
51,Alex Frolov\froloal01,2003,2011,LW,579,175,222,397,27,218,,,,,,,Moscow,1982-06-19,
52,Maxim Galanov\galanma01,1998,2001,D,122,8,12,20,-24,44,,,,,,,Krasnoyarsk,1974-03-13,
53,Alexander Godynyuk\godynal01,1991,1997,D,223,10,39,49,-8,224,,,,,,,Kiev,1970-01-27,
54,Yan Golubovsky\golubya01,1998,2001,D,56,1,7,8,11,32,,,,,,,Novosibirsk,1976-03-09,
55,Sergei Gonchar\gonchse01,1995,2015,D,1301,220,591,811,33,981,,,,,,,Chelyabinsk,1974-04-13,
56,Viktor Gordiouk\gordivi01,1993,1995,LW,26,3,8,11,1,0,,,,,,,Odintsovo,1970-04-11,
57,Evgeny Grachev\grachev01,2011,2012,C,34,1,3,4,-7,2,,,,,,,Khabarovsk,1990-02-21,
58,Denis Grebeshkov\grebede01,2004,2014,D,234,17,68,85,-18,114,,,,,,,Yaroslavl,1983-10-11,
59,Alexei Gusarov\gusaral01,1991,2001,D,607,39,128,167,50,313,,,,,,,Leningrad,1964-07-08,
60,Sergey Gusev\gusevse01,1998,2001,D,89,4,10,14,-20,34,,,,,,,Nizhny Tagil,1975-07-31,
61,Ravil Gusmanov\gusmara01,1996,1996,LW,4,0,0,0,-3,0,,,,,,,Naberezhnye Chelny,1972-07-25,
62,Victor Ignatjev\ignatvi01,1999,1999,D,11,0,1,1,-3,6,,,,,,,Riga,1970-04-26,
63,Arturs Irbe\irbear01,1992,2004,G,568,0,9,9,0,90,568,218,236,79,.899,2.83,Riga,1967-02-02,
64,Raitis Ivanans\ivanara01,2006,2012,LW,282,12,6,18,-41,569,,,,,,,Riga,1979-01-03,
65,Alexei Kaigorodov\kaigoal01,2007,2007,C,6,0,1,1,1,0,,,,,,,Magnitogorsk,1983-07-29,
