,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Pontus Aberg\abergpo01,2017,2020,LW,130,17,27,44,-7,34,,,,,,,Stockholm,1993-09-23,
2,Thommy Abrahamsson\abrahth01,1981,1981,D,32,6,11,17,-3,16,,,,,,,Umea,1947-04-08,
3,Sebastian Aho\ahose02,2018,2018,D,22,1,3,4,-5,6,,,,,,,Umea,1996-02-17,
4,Tommy Albelin\albelto01,1988,2006,D,952,44,211,255,52,417,,,,,,,Stockholm,1964-05-21,
5,Daniel Alfredsson\alfreda01,1996,2014,RW,1246,444,713,1157,155,510,,,,,,,Gothenburg,1972-12-11,
6,Erik Andersson\anderer01,1998,1998,C,12,2,1,3,-4,8,,,,,,,Stockholm,1971-08-19,
7,Joakim Andersson\anderjo03,2012,2016,C,205,15,21,36,-11,48,,,,,,,Munkedal,1989-02-05,
8,Jonas Andersson\anderjo02,2002,2011,RW,9,0,0,0,-1,2,,,,,,,Stockholm,1981-02-24,
9,Kent-Erik Andersson\anderke01,1978,1984,RW,456,72,103,175,-10,78,,,,,,,Orebro,1951-05-24,
10,Lias Andersson\anderli01,2018,2020,C,66,3,6,9,-20,33,,,,,,,Smogen,1998-10-13,
11,Mikael Andersson\andermi01,1986,2000,LW,761,95,169,264,-1,134,,,,,,,Malmo,1966-05-10,
12,Niklas Andersson\anderni01,1993,2001,LW,164,29,53,82,-3,85,,,,,,,Kungalv,1971-05-20,
13,Peter Andersson\anderpe02,1984,1986,D,172,10,41,51,17,81,,,,,,,Federtalve,1962-03-02,
14,Peter Andersson\anderpe03,1993,1994,D,47,6,13,19,-4,20,,,,,,,Orebro,1965-08-29,
15,Rasmus Andersson\anderra01,2017,2020,D,138,5,27,32,1,60,,,,,,,Malmo,1996-10-27,
16,Magnus Arvedson\arvedma01,1998,2004,LW,434,100,125,225,109,241,,,,,,,Karlstad,1971-11-25,
17,Viktor Arvidsson\arvidvi01,2015,2020,LW,310,112,93,205,42,135,,,,,,,Skelleftea,1993-04-08,
18,Rasmus Asplund\asplura01,2020,2020,F,27,1,2,3,-3,6,,,,,,,Filipstad,1997-12-03,
19,Hardy Astrom\astroha01,1978,1981,G,83,0,1,1,0,8,83,17,44,12,.871,3.75,Skelleftea,1951-03-29,
20,P.J. Axelsson\axelspj01,1998,2009,LW,797,103,184,287,-26,276,,,,,,,Kungalv,1975-02-26,
21,Johan Backlund\backljo01,2010,2010,G,1,0,0,0,0,0,1,0,1,0,.917,3.00,Skelleftea,1981-07-24,
22,Mikael Backlund\backlmi01,2009,2020,C,668,135,206,341,30,333,,,,,,,Vasteras,1989-03-17,
23,Christian Backman\backmch01,2003,2009,D,302,23,56,79,1,182,,,,,,,Alingsas,1980-04-28,
24,Nicklas Backstrom\backsni02,2008,2020,C,934,240,668,908,114,456,,,,,,,Gavle,1987-11-23,
25,Daniel Bang\bangda01,2013,2013,W,8,0,2,2,-2,0,,,,,,,Stockholm,1987-04-19,
