,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,David Aebischer\aebisda01,2001,2008,G,214,0,5,5,0,30,214,106,74,17,.912,2.52,Geneva,1978-02-07,
2,Sven Andrighetto\andrisv01,2015,2019,RW,216,31,52,83,-3,42,,,,,,,Zurich,1993-03-21,
3,Sven Baertschi\baertsv01,2012,2020,LW,291,66,72,138,-33,78,,,,,,,Bern,1992-10-05,
4,Reto Berra\berrare01,2014,2018,G,76,0,1,1,0,4,76,20,36,4,.905,2.85,Bulach,1987-01-03,
5,Christoph Bertschy\bertsch02,2016,2018,C,9,0,1,1,1,8,,,,,,,Fribourg,1994-04-05,
6,Damien Brunner\brunnda01,2013,2015,RW,121,25,33,58,-18,46,,,,,,,Oberlunkhofen,1986-03-09,
7,Raphael Diaz\diazra01,2012,2015,D,201,8,41,49,-8,62,,,,,,,Baar,1986-01-09,
8,Kevin Fiala\fialake01,2015,2020,LW,263,57,72,129,-1,110,,,,,,,St. Gallen,1996-07-22,
9,Patrick Fischer\fischpa01,2007,2007,C,27,4,6,10,0,24,,,,,,,Zug,1975-09-06,
10,Martin Gerber\gerbema01,2003,2011,G,229,0,7,7,0,30,229,113,78,21,.911,2.63,Burgdorf,1974-09-03,
11,Gaetan Haas\haasga01,2020,2020,F,39,4,4,8,-1,6,,,,,,,Bonfol,1992-01-31,
12,Mark Hardy\hardyma01,1980,1994,D,915,62,306,368,-97,1293,,,,,,,Samedan,1959-02-01,
13,Timo Helbling\helblti01,2006,2007,D,11,0,1,1,-4,8,,,,,,,Basel,1981-07-21,
14,Jonas Hiller\hillejo01,2008,2016,G,404,0,8,8,0,2,404,197,140,37,.914,2.55,Felben Wellhausen,1982-02-12,
15,Nico Hischier\hischni01,2018,2020,C,191,49,78,127,3,60,,,,,,,Brig,1999-01-04,
16,Pauli Jaks\jakspa01,1995,1995,G,1,0,0,0,0,0,1,0,0,0,.920,3.00,Schaffhausen,1972-01-25,
17,Roman Josi\josiro01,2012,2020,D,607,107,287,394,65,226,,,,,,,Bern,1990-06-01,
18,Dean Kukan\kukande01,2016,2020,D,77,1,13,14,8,20,,,,,,,Volketswil,1993-07-08,
19,Denis Malgin\malgide01,2017,2020,C,179,27,30,57,-17,34,,,,,,,Olten,1997-01-18,
20,Timo Meier\meierti01,2017,2020,RW,240,69,69,138,3,136,,,,,,,Herisau,1996-10-08,
21,Mirco Mueller\muellmi01,2015,2020,D,165,4,18,22,-24,55,,,,,,,Winterthur,1995-03-21,
22,Nino Niederreiter\niedeni01,2011,2020,RW,580,132,150,282,15,279,,,,,,,Chur,1992-09-08,
23,Tim Ramholt\ramhoti01,2008,2008,D,1,0,0,0,-1,0,,,,,,,Zurich,1984-11-02,
24,Michel Riesen\riesemi01,2001,2001,RW,12,0,1,1,2,4,,,,,,,Oberbalm,1979-04-11,
25,Gilles Senn\senngi01,2020,2020,G,2,0,0,0,0,0,2,0,1,0,.902,3.42,Visp,1996-03-01,
26,Jonas Siegenthaler\siegejo01,2019,2020,D,73,2,11,13,16,43,,,,,,,Zurich,1997-05-06,
27,Tobias Stephan\stephto01,2008,2009,G,11,0,1,1,0,0,11,1,3,2,.883,3.49,Zurich,1984-01-21,
28,Mark Streit\streima01,2006,2018,D,786,96,338,434,-73,374,,,,,,,Bern,1977-12-11,
29,Julien Vauclair\vauclju01,2004,2004,D,1,0,0,0,1,2,,,,,,,Delemont,1979-10-02,
30,Joel Vermin\vermijo01,2016,2017,RW,24,0,4,4,3,4,,,,,,,Bern,1992-02-05,
31,Reto Von Arx\vonarre01,2001,2001,C,19,3,1,4,-4,4,,,,,,,Egerkingen,1976-09-13,
32,Yannick Weber\weberya01,2009,2020,D,481,27,65,92,-22,185,,,,,,,Morges,1988-09-23,
33,Roman Wick\wickro01,2011,2011,RW,7,0,0,0,-4,0,,,,,,,Kloten,1985-12-30,
34,Thomas Ziegler\zieglth01,2001,2001,RW,5,0,0,0,-2,0,,,,,,,Zurich,1978-06-09,
