,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Antti Aalto\aaltoan01,25,MDA,C,12,1,1,2,1,2,0.2,1,0,0,0,1,0,0,18,5.6,127,10:37
2,Bryan Adams\adamsbr01,23,ATL,LW,9,0,1,1,-4,2,-0.2,0,0,0,0,1,0,0,3,0.0,87,9:37
3,Craig Adams\adamscr01,23,CAR,RW,44,1,0,1,-7,20,-0.3,1,0,0,0,0,0,0,15,6.7,198,4:30
4,Greg Adams\adamsgr02,37,FLA,LW,60,11,12,23,-3,10,2.0,9,2,0,1,12,0,0,66,16.7,863,14:23
5,Kevyn Adams\adamske01,26,TOT,C,78,11,18,29,3,54,2.4,11,0,0,3,17,0,1,105,10.5,1219,15:38
5,Kevyn Adams\adamske01,26,CBJ,C,66,8,12,20,-4,52,1.3,8,0,0,1,11,0,1,84,9.5,1010,15:18
5,Kevyn Adams\adamske01,26,FLA,C,12,3,6,9,7,2,1.2,3,0,0,2,6,0,0,21,14.3,209,17:25
6,Dmitry Afanasenkov\afanadm01,20,TBL,LW,9,1,1,2,1,4,0.2,1,0,0,0,1,0,0,8,12.5,103,11:24
7,Maxim Afinogenov\afinoma01,21,BUF,RW,78,14,22,36,1,40,3.5,11,3,0,5,15,7,0,190,7.4,1134,14:32
8,Mika Alatalo\alatami01,29,PHX,LW,70,7,12,19,1,22,1.4,7,0,0,1,11,1,0,64,10.9,769,10:59
9,Tommy Albelin\albelto01,36,CGY,D,77,1,19,20,2,22,4.5,0,1,0,0,9,10,0,69,1.4,1608,20:53
10,Daniel Alfredsson\alfreda01,28,OTT,RW,68,24,46,70,11,30,7.7,14,10,0,3,31,15,0,206,11.7,1277,18:47
11,Bryan Allen\allenbr01,20,VAN,D,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,56,9:20
12,Jamie Allison\allisja01,25,CHI,D,44,1,3,4,7,53,1.7,1,0,0,0,3,0,0,16,6.3,640,14:33
13,Jason Allison\allisja02,25,BOS,C,82,36,59,95,-8,85,9.9,22,11,3,6,25,33,1,185,19.5,1915,23:21
14,Tony Amonte\amontto01,30,CHI,RW,82,35,29,64,-22,54,6.6,25,9,1,3,15,14,0,256,13.7,1816,22:09
15,Niklas Andersson\anderni01,29,CGY,LW,11,0,1,1,0,4,-0.1,0,0,0,0,1,0,0,8,0.0,123,11:10
16,Dave Andreychuk*\andreda01,37,BUF,LW,74,20,13,33,0,32,4.1,12,8,0,4,6,7,0,119,16.8,887,12:00
17,Nik Antropov\antroni01,20,TOR,C,52,6,11,17,5,30,1.6,6,0,0,1,8,3,0,71,8.5,522,10:02
18,Denis Arkhipov\arkhide01,21,NSH,C,40,6,7,13,0,4,1.4,6,0,0,0,6,1,0,42,14.3,397,9:56
19,Chris Armstrong\armstch01,25,MIN,D,3,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,4,0.0,54,18:06
20,Derek Armstrong\armstde01,27,NYR,C,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,6,0.0,34,11:22
21,Jason Arnott\arnotja01,26,NJD,C,54,21,34,55,23,75,6.9,13,8,0,3,27,7,0,138,15.2,875,16:12
22,Magnus Arvedson\arvedma01,29,OTT,LW,51,17,16,33,23,24,4.5,14,1,2,4,16,0,0,79,21.5,817,16:01
23,Arron Asham\ashamar01,22,MTL,RW,46,2,3,5,-9,59,-0.2,2,0,0,0,2,1,0,32,6.3,389,8:28
24,Kaspars Astashenko\astaska01,25,TBL,D,15,1,1,2,-4,4,0.1,1,0,0,0,1,0,0,4,25.0,103,6:50
25,Blair Atcheynum\atchebl01,31,CHI,RW,19,1,2,3,-7,2,-0.1,1,0,0,0,2,0,0,18,5.6,173,9:06
26,Serge Aubin\aubinse01,25,CBJ,C,81,13,17,30,-20,107,1.7,13,0,0,2,16,0,1,110,11.8,1324,16:20
